,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,3390,415,1164054857.7499976
1,2010,3403,402,1774614271.72
2,2011,3248,433,1047695466.2599994
3,2012,3208,391,771613654.4899997
4,2013,3206,423,757239420.1700023
5,2014,3751,430,936373310.3600023
6,2015,4077,376,1296832715.2500014
7,2016,3941,364,1445834451.9100046
8,2017,4271,367,1517045383.13
9,2018,4035,396,1697335966.0599966
10,2019,2946,418,1937715782.9999979
