,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,1482,446,1279915466.9200027
1,2010,1694,479,402958267.8300001
2,2011,1510,450,316491410.51
3,2012,1676,428,351504833.7100004
4,2013,1664,400,296068985.1100003
5,2014,1976,392,537344884.0800002
6,2015,2164,425,662745008.4800005
7,2016,1988,414,1551823143.3099997
8,2017,1885,387,676169504.8100004
9,2018,1924,390,530056806.39000005
10,2019,2086,363,764681305.0600002
