,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,414000.0,414000.0,414000.0,2009-04-03,957050883,GOVPLACE
1,2009,14501669.0,12209426.0,44348547.0,2008-11-04,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INCORPORATED (6773)
2,2009,4131462.75,4131462.75,4131462.75,2008-10-20,066523528,"ADCI OF DELAWARE, LLC"
3,2009,2828.97,2828.97,2828.97,2008-12-08,619719693,WILDFLOWER INTERNATIONAL LIMITED
4,2009,83857.52,83857.52,83857.52,2008-12-10,048870724,"ATLANTIC COMMTECH, INC"
5,2009,27816.96,27816.96,27816.96,2008-12-01,619719693,WILDFLOWER INTERNATIONAL LIMITED
6,2009,18246.57,18246.57,18246.57,2008-11-19,048474621,"AMERICAN WORDATA, INCORPORATED"
7,2009,899990.32,899990.32,899990.32,2008-12-31,603180985,BART AND ASSOCIATES INCORPORATED
8,2009,6908293.99,6908293.99,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
9,2009,43664.4,43664.4,43664.4,2008-12-12,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
10,2009,309041.84,309041.84,467288.88,2008-12-02,092518794,ITS CORPORATION
11,2009,56118.07,56118.07,56118.07,2008-12-18,013358002,MYTHICS INCORPORATED
12,2009,48370.48,48370.48,48370.48,2008-10-23,141087416,TKC TECHNOLOGY SOLUTIONS LIMITED LIABILITY COMPANY
13,2009,2879.04,2879.04,2879.04,2008-10-31,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
14,2009,857263.41,857263.41,857263.41,2008-10-29,957050883,GOVPLACE
15,2009,5390.0,5390.0,0.0,2008-11-24,117342618,COMMUNICATIONS PRODUCTS INC
16,2009,12227959.0,3640386.0,12227959.0,2008-12-12,066781865,"NTT DATA FEDERAL SERVICES, INC"
17,2009,98925.36,98925.36,98925.36,2008-10-20,926402728,"SOFTSCAPE, INC."
18,2009,2128285.33,2128285.33,2128285.33,2008-12-31,013358002,MYTHICS INCORPORATED
19,2009,7773.65,7773.65,7773.65,2008-10-28,619719693,WILDFLOWER INTERNATIONAL LIMITED
20,2009,60365.21,60365.21,60365.21,2008-10-31,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
21,2009,1351706.6,378817.34,1351706.6,2008-12-02,194506395,CHENEGA FEDERAL SYSTEMS LIMITED LIABILITY COMPANY
22,2009,4670.58,4670.58,4670.58,2008-12-03,619719693,WILDFLOWER INTERNATIONAL LIMITED
23,2009,79145.37,79145.37,79145.37,2008-12-23,013358002,MYTHICS INCORPORATED
24,2009,2664.0,2664.0,2664.0,2008-10-03,059243436,SCANTRON CORPORATION
25,2009,1197855.2,1197855.2,1197855.2,2008-11-05,120169321,SERENA SOFTWARE INC.
26,2009,1236800.0,1236800.0,1236800.0,2008-12-05,081466849,MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION
27,2009,70433.58,0.0,70433.58,2008-10-01,151770955,NORTEL GOVERNMENT SOLUTIONS INCORPORATED
28,2009,39430.24,39430.24,39430.24,2008-10-29,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
29,2009,96009.3,96009.3,0.0,2008-11-19,047775205,AKAMAI TECHNOLOGIES INC
30,2009,5258.97,5258.97,0.0,2008-11-11,003548489,AT&T MOBILITY LLC
31,2009,2215453.0,2215453.0,2215453.0,2008-10-15,097779698,SRA INTERNATIONAL INCORPORATED (3306)
32,2009,94808.4,94808.4,646268.8,2008-12-02,112693358,SKILLSTORM INCORPORATED
33,2009,8791.12,8791.12,8791.12,2009-02-25,957050883,GOVPLACE
34,2009,1342560.0,1342560.0,1342560.0,2008-12-11,603180985,BART AND ASSOCIATES INCORPORATED
35,2009,349900.0,349900.0,349900.0,2008-12-17,016700718,INFORMATION ANALYSIS INCORPORA
36,2009,13470387.01,13470387.01,13470387.01,2008-12-30,603180985,BART AND ASSOCIATES INCORPORATED
37,2009,157817.0,157817.0,157817.0,2008-12-23,081466849,MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION
38,2009,99671.15,99671.15,0.0,2008-12-16,047775205,AKAMAI TECHNOLOGIES INC
39,2009,26277.88,26277.88,26277.88,2008-12-31,619719693,WILDFLOWER INTERNATIONAL LIMITED
40,2009,1068769.47,1068769.47,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
41,2009,466796.6,466796.6,466796.6,2008-11-10,153874623,PRAGMATICS INCORPORATED
42,2009,6975.0,6975.0,6975.0,2008-11-18,931219716,AVAYA INCORPORATED GOVERNMENT SOLUTIONS BRANCH
43,2009,13200.0,13200.0,15000.0,2008-11-04,064680213,NORTHROP GRUMMAN INFORMATION TECHNOLOGY GLOBAL CORPORATION
44,2009,199483.0,199483.0,0.0,2008-12-05,017439894,INFORMATION MANAGEMENT CONSULTANTS INCORPORATED
45,2009,412020.94,412020.94,528765.54,2008-12-10,092518794,ITS CORPORATION
46,2009,1877672.0,156666.67,0.0,2008-10-01,161910468,SYSTEMS INTEGRATION GROUP INCORPORATED
47,2009,1132956.51,1132956.51,1132956.51,2008-12-30,603180985,BART AND ASSOCIATES INCORPORATED
48,2009,2191.74,2191.74,2191.74,2008-11-10,003548489,AT&T MOBILITY LLC
49,2009,4962.67,4962.67,4962.67,2008-10-30,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
50,2009,4869780.16,4869780.16,4869780.16,2008-12-24,797313673,GENERAL DYNAMICS INFORMATION TECHNOLOGY INCORPORATED
51,2009,799895.43,799895.43,799895.43,2008-12-29,603180985,BART AND ASSOCIATES INCORPORATED
52,2009,66170.0,66170.0,99255.0,2008-11-25,092518794,ITS CORPORATION
53,2009,13900669.1,13900669.1,13900669.1,2008-12-30,603180985,BART AND ASSOCIATES INCORPORATED
54,2009,0.0,0.0,0.0,2008-12-16,072650484,"KFORCE GOVERNMENT SOLUTIONS, INC."
55,2009,4642590.72,4642590.72,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
56,2009,79376.4,79376.4,247781.37,2008-10-31,013695486,INFORMATION MANUFACTURING CORPORATION
57,2009,1006701.9,1006701.9,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
58,2009,5506881.34,5506881.34,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
59,2009,10616.7,10616.7,10616.7,2008-10-28,786468199,"DLT SOLUTIONS, INC."
60,2009,10794.71,10794.71,0.0,2008-11-18,182956367,DEFENSE GROUP INCORPORATED
61,2009,34357.68,34357.68,34357.68,2008-12-15,013358002,MYTHICS INCORPORATED
62,2009,106821.91,106821.91,106821.91,2008-12-31,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
63,2009,3654701.6,3654701.6,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
64,2009,1056181.6,88166.67,0.0,2008-10-01,161910468,SYSTEMS INTEGRATION GROUP INCORPORATED
65,2009,379859.08,379859.08,758718.16,2008-11-13,178050977,SYSTEM ENGINEERING AND INTEGRATION DEFENSE CONTRACTOR INCORPORATED
66,2009,2433739.9,681180.3,2433739.9,2008-12-01,194506395,CHENEGA FEDERAL SYSTEMS LIMITED LIABILITY COMPANY
67,2009,843657.6,843657.6,843657.6,2008-11-21,061783460,ROBBINS GIOIA LIMITED LIABILITY COMPANY
68,2009,166380.0,166380.0,166380.0,2008-12-23,797777851,E M W INCORPORATED (4135)
69,2009,1160076.33,1160076.33,1160076.33,2008-10-01,931219716,AVAYA INCORPORATED GOVERNMENT SOLUTIONS BRANCH
70,2009,929134.33,929134.33,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
71,2009,873610.0,873610.0,1378660.0,2008-12-29,957050883,GOVPLACE
72,2009,472420.0,472420.0,0.0,2008-12-17,017439894,INFORMATION MANAGEMENT CONSULTANTS INCORPORATED
73,2009,126681.68,126681.68,0.0,2008-12-15,017439894,INFORMATION MANAGEMENT CONSULTANTS INCORPORATED
74,2009,9097.75,9097.75,9097.75,2008-12-30,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
75,2009,2027823.5,660396.7,2027823.5,2008-12-02,194506395,CHENEGA FEDERAL SYSTEMS LIMITED LIABILITY COMPANY
76,2009,265248.3,265248.3,265248.3,2008-10-01,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
77,2009,4448947.56,4448947.56,4448947.56,2008-11-12,797777851,E M W INCORPORATED (4135)
78,2009,15095.06,15095.06,15095.06,2008-12-11,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
79,2009,2412.0,2412.0,2412.0,2008-12-03,141876420,"ACF TECHNOLOGIES, INC."
80,2009,1471744.59,1471744.59,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
81,2009,307474.68,307474.68,307474.68,2008-12-08,957050883,GOVPLACE
82,2009,3266.88,3266.88,3266.88,2008-10-14,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
83,2009,0.0,0.0,1030370.1,2008-10-01,120169321,SERENA SOFTWARE INC
84,2009,12595.48,12595.48,12595.48,2008-11-21,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
85,2009,32125.76,32125.76,98712.8,2008-12-22,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
86,2009,0.0,0.0,0.0,2008-12-24,797313673,GENERAL DYNAMICS INFORMATION TECHNOLOGY INCORPORATED
87,2009,14507412.0,14507412.0,491097843.0,2008-11-03,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION
88,2009,247659.2,247659.2,247659.2,2008-11-14,614767403,MULTIMAXARRAY FIRSTSOURCE
89,2009,136269.7,136269.7,136269.7,2008-12-23,013358002,MYTHICS INCORPORATED
90,2009,27518.19,27518.19,27518.19,2008-12-29,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
91,2009,223934.44,223934.44,223934.44,2008-12-08,013358002,MYTHICS INCORPORATED
92,2009,280915.0,280915.0,280915.0,2008-11-03,603180985,BART AND ASSOCIATES INCORPORATED
93,2009,8416135.54,8416135.54,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
94,2009,224480.0,224480.0,224480.0,2008-10-24,603180985,BART AND ASSOCIATES INCORPORATED
95,2009,738510.7,738510.7,738510.7,2008-10-30,153874623,PRAGMATICS INCORPORATED
96,2009,3949997.76,3949997.76,3949997.76,2008-12-30,603180985,BART AND ASSOCIATES INCORPORATED
97,2009,2300340.96,191695.0,0.0,2008-10-01,161910468,SYSTEMS INTEGRATION GROUP INCORPORATED
98,2009,162380.4,162380.4,0.0,2008-11-20,017439894,INFORMATION MANAGEMENT CONSULTANTS INCORPORATED
99,2009,2063363.0,2063363.0,2063363.0,2008-12-30,603180985,BART AND ASSOCIATES INCORPORATED
100,2009,832240.72,832240.72,4457425.56,2008-12-08,802939454,INDUS CORPORATION
101,2009,346122.0,346122.0,346122.0,2009-07-23,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
102,2009,14656.72,14656.72,14656.72,2009-05-14,931219716,AVAYA INCORPORATED GOVERNMENT SOLUTIONS BRANCH
103,2009,28880.52,28880.52,28880.52,2009-08-25,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
104,2009,2156414.0,1000000.0,32084566.19,2009-09-25,054781240,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
105,2009,42745.93,42745.93,42745.93,2009-03-13,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
106,2009,32489.24,32489.24,32489.24,2009-09-11,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
107,2009,895739.36,895739.36,895739.36,2009-03-31,013358002,MYTHICS INCORPORATED
108,2009,11208.45,11208.45,11208.45,2009-05-14,155143050,"FOX RIVER GRAPHICS, INC"
109,2009,680719.52,680719.52,680719.52,2009-03-09,153874623,PRAGMATICS INC
110,2009,33916.77,33916.77,33916.77,2009-04-23,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
111,2009,34663.48,34663.48,34663.48,2009-03-05,614767403,MULTIMAXARRAY FIRSTSOURCE
112,2009,29461.6,29461.6,29461.6,2009-09-30,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
113,2009,78654.44,78654.44,78654.44,2009-08-19,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
114,2009,3759.36,3759.36,3759.36,2009-07-29,136483802,"EG SOLUTIONS, LLC"
115,2009,53733.6,53733.6,53733.6,2009-03-11,057802209,"ASPECT SOFTWARE, INC."
116,2009,15463.08,15463.08,15463.08,2009-07-28,615381907,ST NET-APPTIS FIRSTSOURCE JOINT VENTURE
117,2009,82429.38,82429.38,82429.38,2009-09-29,054007823,"NET DIRECT SYSTEMS, LLC"
118,2009,660572.5,660572.5,0.0,2009-08-26,611814252,"SEI TECHNOLOGY, INC"
119,2009,802340.87,802340.87,802340.87,2009-09-26,961003720,NCS TECHNOLOGIES INCORPORATED
120,2009,380766.64,380766.64,380766.64,2009-08-19,013358002,MYTHICS INCORPORATED
121,2009,256576.89,256576.89,256576.89,2009-01-30,622895613,MICROSTRATEGY INCORPORATED
122,2009,1962992.8,1962992.8,1962992.8,2009-03-09,788299782,AMDEX CORPORATION
123,2009,322534.93,321034.93,400797.86,2009-02-25,018832795,ENVISAGE
124,2009,11965.6,11965.6,11965.6,2009-09-04,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
125,2009,266334.44,266334.44,444296.2,2009-03-20,064680213,NORTHROP GRUMMAN INFORMATION TECHNOLOGY GLOBAL CORPORATION
126,2009,4030.8,4030.8,4030.8,2009-06-08,003548489,AT&T MOBILITY LLC
127,2009,333061.08,333061.08,333061.08,2009-09-29,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
128,2009,478392.85,478392.85,478392.85,2009-09-24,610320215,GENERAL DYNAMICS ONE SOURCE LIMITED LIABILITY COMPANY
129,2009,10531.11,10531.11,10531.11,2009-09-28,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
130,2009,326961.29,326961.29,326961.29,2009-09-24,957050883,GOVPLACE
131,2009,66019.5,66019.5,66019.5,2009-09-03,619719693,WILDFLOWER INTERNATIONAL LIMITED
132,2009,10628.19,10628.19,10628.19,2009-08-25,619719693,WILDFLOWER INTERNATIONAL LIMITED
133,2009,7490.0,7490.0,7490.0,2009-07-21,786468199,"DLT SOLUTIONS, INC."
134,2009,5416.62,5416.62,6000.0,2009-06-24,098692374,IMMIXTECHNOLOGY INC
135,2009,94479.56,94479.56,94479.56,2009-09-29,112710947,"EYAK TECHNOLOGY, LLC"
136,2009,2970.0,2970.0,2970.0,2009-07-17,030771583,"AVEPOINT, INC."
137,2009,156368.1,156368.1,860094.26,2009-02-04,621796044,COMPUTER WORLD SERVICES CORPORATION
138,2009,335902.26,335902.26,335902.26,2009-06-22,013358002,MYTHICS INCORPORATED
139,2009,7891.9,7891.9,7891.9,2009-08-26,141087416,TKC TECHNOLOGY SOLUTIONS LIMITED LIABILITY COMPANY
140,2009,307340.72,307340.72,307340.72,2009-02-12,153874623,PRAGMATICS INC
141,2009,183223.81,183223.81,314141.71,2009-08-27,177055329,"DIGITALIBIZ, INC."
142,2009,119564.9,119564.9,119564.9,2009-07-01,077817617,ELECTRONIC DATA SYSTEMS CORPORATION
143,2009,670618.52,670618.52,1497477.45,2009-05-28,608999520,REI SYSTEMS INC
144,2009,88065331.0,88065331.0,98635690.0,2009-09-25,167448161,COMPUTER SCIENCES CORPORATION (3126)
