,nooffilteredaward,awardvalue,noofvendors,agency_abb,index
0,39476,31894115860.67,1972,DHS,0
0,20049,12742268768.01,1882,DOC,1
0,134612,164715079362.09,9450,DOD,2
0,29121,13619727252.05,2063,DOJ,3
0,8567,48451723674.57,1344,GSA,4
0,27904,46901869616.89,2732,HHS,5
0,1269,2232884164.68,273,SEC,6
0,15977,216567297050.26,1434,TREAS,7
0,16828,7184246227.17,1920,USDA,8
0,42913,45110755280.36,2261,VA,9
