,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,1696,329,788243628.1600002
1,2010,1414,329,941620452.9999999
2,2011,1044,305,1176887077.4000006
3,2012,683,241,523154347.15999997
4,2013,520,225,670644143.6199996
5,2014,496,227,775679615.2500001
6,2015,576,263,1194768371.9599988
7,2016,605,294,1031669947.4900007
8,2017,516,255,2672704048.4800024
9,2018,496,259,1500055555.4199996
10,2019,521,255,1716754934.7600014
