,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,5335,453,711329038.2699993
1,2010,5641,546,1086753736.0199995
2,2011,5491,641,1162473493.2299986
3,2012,4149,494,1033919310.3400007
4,2013,3976,500,1054140263.2399979
5,2014,3733,455,1108342187.039999
6,2015,3132,465,1063202301.5899975
7,2016,3315,465,1414325382.259999
8,2017,3223,417,1775674569.1200006
9,2018,2507,391,1798266655.0500057
10,2019,2411,379,1618300198.2799978
