,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,1259,345,538159988.3300008
1,2010,1459,359,548853739.5400003
2,2011,1457,385,618847178.8700001
3,2012,1368,361,702019199.1000009
4,2013,1495,357,683139823.4900014
5,2014,1522,340,513397477.96000063
6,2015,1550,383,655480736.4099998
7,2016,1645,395,930536008.4199996
8,2017,1679,350,847445818.1199999
9,2018,1290,305,820964233.3000004
10,2019,1253,315,863915896.9999993
