,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,11585.31,11585.31,11585.31,2009-06-06,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
1,2009,37173.96,37173.96,37173.96,2009-08-15,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
2,2009,149801.06,149801.06,149801.06,2009-08-15,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
3,2009,129888.19,129888.19,129888.19,2009-09-06,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
4,2009,4306938.21,4306938.21,4306938.21,2009-03-04,078351306,CSC INFORMATION SYSTEMS LIMITED LIABILITY COMPANY
5,2009,213157.68,213157.68,213157.68,2009-09-14,070865378,TRUSTED MISSION SOLUTIONS INC.
6,2009,116057.07,116057.07,116057.07,2009-01-27,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
7,2009,788981.28,788981.28,788981.28,2009-09-04,125590674,"BEARINGPOINT, L.L.C"
8,2009,56616.95,56616.95,56616.95,2009-05-14,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
9,2009,314655.9,314655.9,314655.9,2009-06-02,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
10,2009,39194.4,39194.4,39194.4,2009-06-10,006928857,BOOZ ALLEN HAMILTON INC
11,2009,190944.66,190944.66,190944.66,2009-01-26,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
12,2009,70287.96,70287.96,70287.96,2009-07-31,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
13,2009,216986.0,216986.0,216986.0,2009-06-24,004693904,ISYS LIMITED LIABILITY COMPANY
14,2009,9763.1,9763.1,9763.1,2009-07-31,786468199,"DLT SOLUTIONS, INC."
15,2009,101654.44,101654.44,101654.44,2009-05-14,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
16,2009,37173.96,37173.96,37173.96,2009-08-15,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
17,2009,50002.0,50002.0,50002.0,2009-05-11,098692374,IMMIXTECHNOLOGY INCORPORATED
18,2009,394750.0,394750.0,7287404.0,2009-06-11,805262326,NEWLINK GLOBAL ENGINEERING COR
19,2009,1679936.8,1679936.8,1679936.8,2009-08-25,019933084,INNOVATIVE MANAGEMENT AND TECH
20,2009,40817.52,40817.52,40817.52,2009-09-27,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
21,2009,68889.6,68889.6,0.0,2009-04-22,143682164,ALON INCORPORATED
22,2009,81350.2,81350.2,81350.2,2009-07-01,961220415,"TANDBERG, INC."
23,2009,54730.14,54730.14,54730.14,2009-07-23,135726185,"BARLING BAY, LLC"
24,2009,12167634.92,12167634.92,12167634.92,2009-09-18,011367237,LOCKHEED MARTIN CORPORATION
25,2009,1463867.2,1463867.2,1463867.2,2009-06-20,093377690,DAVID HALE ASSOCIATES INCORPORATED
26,2009,596977.42,596977.42,596977.42,2009-09-02,121701957,BLUE TECH INCORPORATED
27,2009,228261.07,228261.07,228261.07,2009-07-29,006928857,BOOZ ALLEN HAMILTON INC
28,2009,34537.5,34537.5,34537.5,2009-06-05,113284624,ACCU-TECH CORPORATION
29,2009,6356.82,6356.82,6356.82,2009-06-02,160759135,ALVAREZ AND ASSOCIATES LIMITED LIABILITY COMPANY
30,2009,137916.2,137916.2,137916.2,2009-09-01,051237027,FEDSTORE CORPORATION
31,2009,86566.43,86566.43,86566.43,2009-08-15,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
32,2009,384066.0,384066.0,384066.0,2009-09-15,938318995,CROSS MATCH TECHNOLOGIES INCORPORATED
33,2009,926429.78,926429.78,926429.78,2009-06-27,837829084,TECHNICA CORPORATION
34,2009,34796.2,34796.2,34796.2,2009-09-28,145969783,CGI FEDERAL INCORPORATED
35,2009,137522.49,137522.49,137522.49,2009-05-08,107939357,GTSI CORPORATION
36,2009,60040.04,60040.04,60040.04,2009-09-06,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
37,2009,94169.09,94169.09,94169.09,2009-04-01,933549230,FUTURENET GROUP INCORPORATED
38,2009,450000.0,450000.0,450000.0,2009-09-28,125590674,"BEARINGPOINT, L.L.C"
39,2009,395288.42,172179.0,0.0,2009-09-16,167260889,"EMENTUM, INC."
40,2009,46390.2,46390.2,46390.2,2009-09-13,088365767,CARAHSOFT TECHNOLOGY CORPORATION
41,2009,410154.24,410154.24,410154.24,2009-02-27,013358002,"MYTHICS, INC"
42,2009,2521817.0,2521817.0,2521817.0,2009-09-10,611823738,"SAPIENT GOVERNMENT SERVICES, INC."
43,2009,171649.0,171649.0,171649.0,2009-04-09,093377690,DAVID HALE ASSOCIATES INCORPORATED
44,2009,26047.5,26047.5,26047.5,2009-03-17,098692374,IMMIXTECHNOLOGY INC
45,2009,76259.28,72400.88,76259.28,2009-09-28,786478698,"ENTERPRISE ENGINEERING SERVICES, L.L.C."
46,2009,4440682.0,4440682.0,4440682.0,2009-04-08,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
47,2009,114411.01,114411.01,114411.01,2009-05-18,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
48,2009,174720.0,174720.0,174720.0,2009-04-22,066781865,KEANE FEDERAL SYSTEMS INC
49,2009,51991.73,51991.73,51991.73,2009-08-15,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
50,2009,423045.95,423045.95,423045.95,2009-06-30,073521101,MERLIN INTERNATIONAL INCORPORATED
51,2009,23755.92,23755.92,0.0,2009-09-14,078351306,"DYNCORP INFORMATION SYSTEMS, L"
