,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,487,151,1154494939.4700003
1,2010,263,86,169714114.9599999
2,2011,127,48,66043166.54000001
3,2012,118,46,65112418.97000001
4,2013,79,32,45531138.089999996
5,2014,82,25,137374473.69000003
6,2015,62,19,126949312.19000003
7,2016,53,16,74517143.31000002
8,2017,62,11,154830435.40999997
9,2018,55,13,45395175.49
10,2019,81,14,119719692.28999999
