,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,61,36,16577619.599999998
1,2010,109,53,33857039.960000016
2,2011,127,57,65134247.58
3,2012,148,68,102983581.96
4,2013,135,61,60835497.39
5,2014,150,61,91634846.33000004
6,2015,150,69,77493741.19000003
7,2016,105,56,76261833.05000001
8,2017,87,47,35244317.209999986
9,2018,111,49,58939516.739999995
10,2019,86,45,55025956.77000001
