,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,616,161,859436381.2199998
1,2010,87,53,140555322.32000002
2,2011,65,33,167593019.49999997
3,2012,64,36,158863883.99999997
4,2013,104,59,54154697.16
5,2014,104,54,167492106.83999997
6,2015,151,80,141308623.84999996
7,2016,133,57,75623252.61
8,2017,134,74,141218059.84999996
9,2018,115,56,146110183.74999997
10,2019,102,40,122862232.03999998
