,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,981,191,706950143.9100012
1,2010,159,44,173281267.19000012
2,2011,120,40,92532905.27000001
3,2012,105,32,148112831.86
4,2013,91,43,180286455.04000002
5,2014,71,23,139276720.28
6,2015,79,22,210469088.02000004
7,2016,78,30,243554742.95000002
8,2017,54,15,188826597.22
9,2018,71,21,284774445.84999996
10,2019,84,20,204810205.79000002
