,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,1050,253,335922702.85999966
1,2010,208,115,97931264.16
2,2011,116,84,88610809.47999999
3,2012,84,55,24021608.669999998
4,2013,53,44,28356102.729999993
5,2014,65,38,78877518.70000002
6,2015,79,53,68127870.85000001
7,2016,51,34,101183293.81000002
8,2017,51,35,49206999.269999996
9,2018,40,26,62905814.08
10,2019,46,29,40679780.12000001
