,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,1831,398,1137102534.84
1,2010,1918,398,755649391.3299993
2,2011,2292,426,892228436.74
3,2012,2526,475,891995911.3999984
4,2013,2625,502,836992748.4499985
5,2014,2919,547,971906478.5999991
6,2015,2897,541,816699628.1300007
7,2016,2966,559,729797333.2099984
8,2017,2840,494,773238217.3000009
9,2018,3433,496,834408116.2500002
10,2019,2874,398,758062163.8300008
