,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,8389.25,8389.25,8389.25,2009-09-05,933678708,"RED RIVER COMPUTER CO., INC."
1,2009,12700.0,12700.0,12700.0,2009-07-23,858555246,"RESOURCE DATA, INC."
2,2009,5341.72,5341.72,5341.72,2009-09-10,827714507,"APPTIS TECHNOLOGY SOLUTIONS, LLC"
3,2009,9235.0,9235.0,9235.0,2009-05-31,022534205,PENOBSCOT BAY MEDIA LIMITED LIABILITY COMPANY
4,2009,79000.0,79000.0,79000.0,2009-08-31,883921553,PRISM COMMUNICATIONS INCORPORATED
5,2009,5000.0,5000.0,5000.0,2009-08-31,618960046,"VAN DER LEEDEN, PAMELA"
6,2009,3763.57,3763.57,3763.57,2009-09-05,786468199,"DLT SOLUTIONS, INC."
7,2009,65638.95,65638.95,65638.95,2009-06-04,098692374,IMMIXTECHNOLOGY INC
8,2009,0.0,0.0,3500000.0,2009-09-24,136581670,"MANAGEMENT SOLUTIONS, INC."
9,2009,42154.72,42154.72,0.0,2009-03-31,009039939,COMMUNICATIONS RESOURCE INCORPORATED
10,2009,30617.48,30617.48,30617.48,2009-09-17,107939357,GTSI CORPORATION
11,2009,129000.0,129000.0,129000.0,2009-08-02,115408580,AMERICALL GROUP INCORPORATED
12,2009,457300.0,457300.0,457300.0,2009-02-10,829160865,ARROW ENTERPRISE COMPUTING SOLUTIONS INC.
13,2009,134675.25,134675.25,134675.25,2009-01-15,168926264,"DAKOTA CONSULTING, INCORPORATED"
14,2009,14437.92,14437.92,14437.92,2009-07-15,941455693,PROFESSIONAL SERVICES CORPORAT
15,2009,11389.85,11389.85,11389.85,2009-08-10,026157235,CDW GOVERNMENT INCORPORATED
16,2009,9544.8,9544.8,9544.8,2009-08-06,026157235,"CDW GOVERNMENT, INC."
17,2009,36317.76,36317.76,36317.76,2009-06-02,098692374,IMMIXTECHNOLOGY INC
18,2009,4120.32,4120.32,4120.32,2009-01-13,063134175,ENVIRONMENTAL SYSTEMS RESEARCH
19,2009,50000.0,50000.0,50000.0,2008-11-06,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
20,2009,53284.0,53284.0,53284.0,2009-04-07,089072826,KT CONSULTING INCORPORATED
21,2009,59000.0,59000.0,59000.0,2009-08-06,095978938,APPLIED SCIENCE ASSOCIATES INC
22,2009,3000.0,3000.0,3000.0,2009-03-18,003548489,AT&T MOBILITY LLC
23,2009,110000.0,110000.0,110000.0,2009-05-05,808044874,PROMETHEUS COMPUTING LLC
24,2009,10310.56,10310.56,10310.56,2009-07-21,943268359,"MEDICAL INFORMATICS ENGINEERING, INCORPORATED"
25,2009,29980.4,29980.4,29980.4,2009-09-03,109173398,INTEGRATED STATISTICS
26,2009,79999.68,79999.68,79999.68,2009-09-08,112693358,SKILLSTORM INCORPORATED
27,2009,1107377.0,386200.0,4731080.0,2009-03-25,800205952,"CHUGACH WORLD SERVICES, INC"
28,2009,14815.0,14815.0,14815.0,2009-08-18,098692374,IMMIXTECHNOLOGY INC
29,2009,240879.54,240879.54,240879.54,2009-03-11,090770967,"EARTH RESOURCES TECHNOLOGY, INC."
30,2009,9000.0,9000.0,9000.0,2009-09-15,098692374,IMMIXTECHNOLOGY INCORPORATED
31,2009,500000.0,500000.0,2530800.0,2009-09-15,788299782,AMDEX CORPORATION
32,2009,4955.92,4955.92,4955.92,2009-09-04,044419237,ORACLE SYSTEMS CORPORATION
33,2009,21214.51,21214.51,21214.51,2009-08-18,098692374,IMMIXTECHNOLOGY INC
34,2009,853925.93,853925.93,853925.93,2009-08-29,847092954,"CITADEL GROUP, THE"
35,2009,10500.0,10500.0,10500.0,2009-03-26,946848488,CERTAIN SOFTWARE INCORPORATED
36,2009,74772.8,74772.8,74772.8,2009-05-29,786468199,"DLT SOLUTIONS, INC."
37,2009,151584.0,151584.0,151584.0,2009-07-14,125997127,"TIKIGAQ TECHNOLOGY SERVICES, LLC"
38,2009,49869.61,49869.61,49869.61,2009-01-15,079279027,ADTI INC.
39,2009,2756.88,2756.88,2756.88,2009-03-16,622827525,"I.M. SYSTEMS GROUP, INC."
40,2009,2856.5,2856.5,2856.5,2009-04-17,807596051,"FEDERAL NETWORK SERVICES, INC."
41,2009,1801981.64,1801981.64,1801981.64,2009-07-01,786244066,"DIVERSIFIED GLOBAL PARTNERS JV, LLC"
42,2009,81627.2,81627.2,81627.2,2009-07-24,790470749,"AVAYA FEDERAL SOLUTIONS, INC."
43,2009,327386.0,327386.0,327386.0,2009-04-30,929100022,INFOTECH SYSTEMS ANALYSTS INC
44,2009,5508.12,5508.12,5508.12,2009-09-16,144293636,"COUNTERTRADE PRODUCTS, INC."
45,2009,4739.42,4739.42,4739.42,2009-07-10,144293636,"COUNTERTRADE PRODUCTS, INC."
46,2009,32442.46,32442.46,32442.46,2009-09-10,141089040,TKC INTEGRATION SERVICES LIMITED LIABILITY COMPANY
47,2009,18618.34,18618.34,18618.34,2009-07-16,602072381,PROVISTA SOFTWARE INTL INCORPORATED
48,2009,427579.26,427579.26,427579.26,2009-09-18,154050959,THE PRESIDIO CORPORATION
49,2009,30500.0,30500.0,0.0,2009-05-12,094738007,SIMPLEXGRINNELL LP
50,2009,30408.49,30408.49,30408.49,2009-09-08,009039939,"COMMUNICATIONS RESOURCE, INCORPORATED"
51,2009,1.0,1.0,1.0,2009-06-01,125997127,"S & T SERVICES, LLC"
52,2009,73750.0,73750.0,73750.0,2009-05-27,097220180,"GARTNER, INC."
53,2009,10145.01,10145.01,10145.01,2009-05-12,088139068,"WHITE SANDS TECHNOLOGY, INC"
