,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,194407.51,194407.51,194407.51,2009-08-17,098692374,IMMIXTECHNOLOGY INC
1,2009,11270.0,11270.0,11270.0,2009-08-26,125069489,EMC CORPORATION
2,2009,8724.0,8724.0,8724.0,2008-10-01,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
3,2009,2559656.08,2559656.08,2559656.08,2008-10-06,802427807,"OPEN TECHNOLOGY GROUP, INCORPORATED"
4,2009,15085.0,15085.0,15085.0,2008-10-21,154050959,PRESIDIO NETWORKED SOLUTIONS INCORPORATED
5,2009,17400.0,17400.0,17400.0,2008-11-19,825062813,DYNAMIC SYSTEMS INCORPORATED (8829)
6,2009,9280.0,9280.0,9280.0,2008-11-04,624829644,BASE TECHNOLOGIES INCORPORATED
7,2009,243552.0,243552.0,243552.0,2008-12-09,096027870,ACCELERA SOLUTIONS INCORPORATED
8,2009,13500.0,13500.0,13500.0,2008-12-16,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
9,2009,14407.35,14407.35,14407.35,2008-10-01,786468199,"DLT SOLUTIONS, INC."
10,2009,23123.88,23123.88,23123.88,2008-10-01,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
11,2009,88659.84,88659.84,88659.84,2008-12-03,131336773,MLINQS LIMITED LIABILITY COMPANY
12,2009,3440.0,3440.0,3440.0,2008-10-10,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
13,2009,9000.0,9000.0,9000.0,2008-11-28,938318995,CROSS MATCH TECHNOLOGIES INCORPORATED
14,2009,6800.0,6800.0,6800.0,2008-10-01,618934892,"HL GROUP, INC"
15,2009,5600.0,5600.0,5600.0,2008-10-28,136804957,MIR3 INC
16,2009,12245.62,12245.62,12245.62,2008-10-29,931219716,AVAYA INC.
17,2009,42587.2,42587.2,42587.2,2008-12-29,837829084,TECHNICA CORPORATION
18,2009,570425.0,570425.0,570425.0,2008-11-13,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INCORPORATED (NGIT)
19,2009,9394.0,9394.0,9394.0,2008-10-30,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
20,2009,2699.0,2699.0,2699.0,2008-11-10,014892509,BCC SOFTWARE INC
21,2009,610.0,610.0,610.0,2008-11-19,019163161,"VERAMARK TECHNOLOGIES, INC."
22,2009,1663.0,1663.0,1663.0,2008-10-01,019163161,"VERAMARK TECHNOLOGIES, INC."
23,2009,39360.04,39360.04,39360.04,2008-11-28,786468199,"DLT SOLUTIONS, INC."
24,2009,50000.0,50000.0,50000.0,2008-11-06,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INCORPORATED (NGIT)
25,2009,74075.16,74075.16,74075.16,2008-10-01,064677243,"NORTHROP GRUMMAN INFORMATION TECHNOLOGY, INC."
26,2009,32728.0,32728.0,32728.0,2008-12-31,799454061,"ENTRUST, INC."
27,2009,13396.02,13396.02,13396.02,2008-12-29,160759135,ALVAREZ AND ASSOCIATES LIMITED LIABILITY COMPANY
28,2009,4644.0,4644.0,4644.0,2008-10-01,089896737,"FOUR POINTS TECHNOLOGY, L.L.C."
29,2009,5856.0,5856.0,5856.0,2008-11-19,884932443,COLEMAN TECHNOLOGIES INC
30,2009,5000.0,5000.0,5000.0,2008-12-22,958851615,INFORMATION BUILDERS INCORPORATED
31,2009,22305.0,22305.0,22305.0,2008-12-17,064296932,"INNOVATION DATA PROCESSING, INC."
32,2009,6116.0,6116.0,6116.0,2008-10-21,144293636,"COUNTERTRADE PRODUCTS, INC."
33,2009,5636.94,5636.94,5636.94,2008-12-02,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION
