,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
60,2009,53415.18,53415.18,53415.18,2009-06-11,619719693,WILDFLOWER INTERNATIONAL LIMITED
61,2009,16006.15,16006.15,16006.15,2009-04-13,619719693,WILDFLOWER INTERNATIONAL LIMITED
62,2009,76525.0,76525.0,76525.0,2009-01-02,797611852,QUESTIONMARK CORPORATION
63,2009,973989.95,973989.95,3427805.55,2009-05-29,069889421,ORIZON INCORPORATED
64,2009,6776.19,6776.19,6776.19,2009-04-09,621796044,COMPUTER WORLD SERVICES CORPORATION
65,2009,43826.8,43826.8,43826.8,2009-04-29,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
66,2009,41863.84,41863.84,41863.84,2009-03-30,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
67,2009,8526.0,8526.0,8526.0,2009-04-28,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
68,2009,134075.75,134075.75,134075.75,2009-09-03,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
69,2009,17327.52,17327.52,17327.52,2009-07-15,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
70,2009,26580.0,26580.0,26580.0,2009-09-02,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
71,2009,2195.0,2195.0,2195.0,2009-08-07,167379762,"ZEND TECHNOLOGIES USA, INC."
72,2009,475793.0,475793.0,0.0,2009-06-16,017439894,INFORMATION MANAGEMENT CONSULTANTS INCORPORATED
73,2009,490000.0,490000.0,1316775.25,2009-01-27,878504856,APPIAN CORPORATION
74,2009,373219.83,373219.83,373219.83,2009-09-25,957050883,GOVPLACE
75,2009,62424.61,62424.61,62424.61,2009-06-10,077817617,ELECTRONIC DATA SYSTEMS CORPORATION
76,2009,245398.0,245398.0,245398.0,2009-02-11,061783460,ROBBINS GIOIA LIMITED LIABILITY COMPANY
77,2009,9043.65,9043.65,9043.65,2009-05-07,619719693,WILDFLOWER INTERNATIONAL LIMITED
78,2009,309041.84,309041.84,467288.88,2008-12-02,092518794,ITS CORPORATION
79,2009,180276.03,739.6,557215.29,2009-06-02,138434712,"HELITUNE, INC."
80,2009,13771.52,13771.52,13771.52,2009-09-11,621796044,COMPUTER WORLD SERVICES CORPORATION
81,2009,27308.34,27308.34,27308.34,2009-08-20,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
82,2009,21347.82,21347.82,21347.82,2009-07-30,957050883,GOVPLACE
83,2009,155863.2,155863.2,155863.2,2009-09-22,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
84,2009,73450.0,73450.0,73450.0,2009-09-29,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
85,2009,4862.94,4862.94,4862.94,2009-05-13,619719693,WILDFLOWER INTERNATIONAL LIMITED
86,2009,28388.16,28388.16,28388.16,2009-08-04,619719693,WILDFLOWER INTERNATIONAL LIMITED
87,2009,9644.36,9644.36,9644.36,2009-04-08,098692374,IMMIXTECHNOLOGY INC
88,2009,0.0,0.0,0.0,2008-10-03,078669280,LOCKHEED MARTIN CORPORATION
89,2009,1228.39,1228.39,1228.39,2009-06-01,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
90,2009,136585.49,136585.49,136585.49,2009-03-04,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
91,2009,19614.6,19614.6,19614.6,2009-07-31,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
92,2009,305819.85,305819.85,305819.85,2009-05-13,048870724,"ATLANTIC COMMTECH, INC"
93,2009,909614.4,909614.4,909614.4,2009-05-28,013358002,MYTHICS INCORPORATED
94,2009,31262.0,31262.0,31262.0,2009-04-16,097220180,"GARTNER, INC."
95,2009,18744.64,18744.64,31569.92,2008-12-03,092518794,ITS CORPORATION
96,2009,70451.6,70451.6,70451.6,2009-06-03,614767403,MULTIMAXARRAY FIRSTSOURCE
97,2009,10482.25,10482.25,10482.25,2009-09-29,957050883,GOVPLACE
98,2009,5485.43,5485.43,5485.43,2009-09-29,957050883,GOVPLACE
99,2009,188144.99,188144.99,188144.99,2009-03-06,614767403,MULTIMAXARRAY FIRSTSOURCE
100,2009,8100.0,8100.0,8100.0,2009-06-01,135910698,"RIGHTSTAR, INC."
101,2009,137660.34,137660.34,137660.34,2009-04-07,077817617,ELECTRONIC DATA SYSTEMS CORPORATION
102,2009,12269.9,12269.9,12269.9,2009-01-06,619719693,WILDFLOWER INTERNATIONAL LIMITED
103,2009,12000.0,12000.0,12000.0,2009-06-23,009520946,"CORTECHS, INC."
104,2009,352445.74,352445.74,352445.74,2009-07-08,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
105,2009,93626.24,93626.24,93626.24,2009-09-09,931219716,AVAYA INCORPORATED GOVERNMENT SOLUTIONS BRANCH
106,2009,314765.07,314765.07,314765.07,2009-03-04,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
107,2009,69099.83,69099.83,69099.83,2009-09-12,961003720,NCS TECHNOLOGIES INCORPORATED
108,2009,600000.0,600000.0,600000.0,2009-03-03,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
109,2009,11977.0,11977.0,11977.0,2009-05-29,614767403,MULTIMAXARRAY FIRSTSOURCE
110,2009,31420.18,31420.18,31420.18,2009-07-15,957050883,GOVPLACE
111,2009,19321.5,19321.5,19321.5,2009-08-17,619719693,WILDFLOWER INTERNATIONAL LIMITED
112,2009,17820.0,17820.0,17820.0,2009-04-15,118708283,MARINE EXCHANGE OF ALASKA
113,2009,12765.92,12765.92,12765.92,2009-09-18,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
114,2009,28611.0,28611.0,28611.0,2009-06-23,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
115,2009,24997.0,24997.0,24997.0,2009-03-09,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
116,2009,25072.46,25072.46,25072.46,2009-09-04,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
117,2009,336760.0,336760.0,336760.0,2009-07-07,957050883,GOVPLACE
118,2009,13221.65,13221.65,13221.65,2009-05-01,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
119,2009,80870.1,80870.1,80870.1,2009-07-24,077817617,ELECTRONIC DATA SYSTEMS CORPORATION
120,2009,59227.94,59227.94,59227.94,2009-08-24,619719693,WILDFLOWER INTERNATIONAL LIMITED
121,2009,6107.83,0.0,6107.83,2009-09-23,038954041,"BETA ADVANCED , INC"
122,2009,11277.76,11277.76,11277.76,2009-09-21,615381907,ST NET-APPTIS FIRSTSOURCE JOINT VENTURE
123,2009,11812.08,11812.08,11812.08,2009-06-23,621796044,COMPUTER WORLD SERVICES CORPORATION
124,2009,15044.72,15044.72,15044.72,2009-09-24,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
125,2009,8953.72,8953.72,8953.72,2009-08-20,054007823,"NET DIRECT SYSTEMS, LLC"
126,2009,61629.67,61629.67,61629.67,2009-09-25,931219716,AVAYA INCORPORATED GOVERNMENT SOLUTIONS BRANCH
127,2009,34968.48,34968.48,34968.48,2009-09-24,931219716,AVAYA INCORPORATED GOVERNMENT SOLUTIONS BRANCH
128,2009,3373.97,3373.97,3373.97,2009-08-04,957050883,GOVPLACE
129,2009,24996.0,24996.0,24996.0,2009-09-30,957050883,GOVPLACE
130,2009,70261.68,70261.68,70261.68,2009-02-26,614767403,MULTIMAXARRAY FIRSTSOURCE
131,2009,21522.8,21522.8,21522.8,2009-05-06,614767403,MULTIMAXARRAY FIRSTSOURCE
132,2009,19500.0,19500.0,19500.0,2009-04-09,619719693,WILDFLOWER INTERNATIONAL LIMITED
133,2009,86387.8,86387.8,86387.8,2009-08-13,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
134,2009,10800.0,10800.0,10800.0,2009-06-12,957050883,GOVPLACE
135,2009,68615.27,0.0,68615.27,2009-09-09,957050883,GOVPLACE
136,2009,0.0,0.0,0.0,2008-10-15,078669280,LOCKHEED MARTIN CORPORATION
137,2009,25158.81,25158.81,25158.81,2009-08-25,619719693,WILDFLOWER INTERNATIONAL LIMITED
138,2009,248489.08,248489.08,248489.08,2009-09-23,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
139,2009,14257.55,14257.55,14257.55,2009-01-09,942408766,M A FEDERAL INCORPORATED (2233)
140,2009,24193.55,24193.55,24193.55,2009-06-25,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
141,2009,655182.5,655182.5,655182.5,2009-02-05,942408766,M A FEDERAL INCORPORATED (2233)
142,2009,43664.4,43664.4,43664.4,2008-12-12,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
143,2009,200000.0,200000.0,200000.0,2009-09-16,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION
144,2009,54643.12,54643.12,54643.12,2009-03-04,957050883,GOVPLACE
145,2009,2065190.12,2065190.12,2065190.12,2009-09-23,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
146,2009,73908.43,73908.43,73908.43,2009-06-01,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
147,2009,1452838.15,1452838.15,10080911.71,2009-09-25,167448161,COMPUTER SCIENCES CORPORATION (3126)
148,2009,31658.62,31658.62,31658.62,2009-09-15,957050883,GOVPLACE
149,2009,3154.65,3154.65,3154.65,2009-06-01,619719693,WILDFLOWER INTERNATIONAL LIMITED
150,2009,46971.89,46971.89,0.0,2009-02-25,117342618,COMMUNICATIONS PRODUCTS INC
151,2009,17423.83,17423.83,17423.83,2009-04-06,619719693,WILDFLOWER INTERNATIONAL LIMITED
152,2009,603988.0,603988.0,0.0,2009-09-30,090739830,ODYSSEY SYSTEMS CONSULTING GRO
153,2009,7880.33,7880.33,7880.33,2009-07-15,621796044,COMPUTER WORLD SERVICES CORPORATION
154,2009,192862.0,192862.0,192862.0,2009-09-10,942408766,M A FEDERAL INCORPORATED (2233)
155,2009,38232.78,38232.78,38232.78,2009-08-18,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
156,2009,6908293.99,6908293.99,0.0,2008-12-13,182956367,DEFENSE GROUP INCORPORATED
157,2009,140983.94,140983.94,140983.94,2009-06-17,961003720,NCS TECHNOLOGIES INCORPORATED
158,2009,175572.69,175572.69,175572.69,2009-02-09,013358002,MYTHICS INCORPORATED
159,2009,143375.17,143375.17,143375.17,2009-09-10,931219716,AVAYA INCORPORATED GOVERNMENT SOLUTIONS BRANCH
160,2009,16166.4,16166.4,16166.4,2009-04-02,613194799,"QINETIQ NORTH AMERICA, INC."
161,2009,34822.24,34822.24,34822.24,2008-12-01,003548489,AT&T MOBILITY LLC
