,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,28,19,8977166.790000003
1,2010,7,4,2075609.5000000002
2,2011,8,5,5451747.24
3,2012,4,4,2050460.07
4,2013,11,11,791628.0
5,2014,3,3,5809021.13
6,2015,5,4,5960934.449999999
7,2016,3,3,39740994.04
