,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
61,2009,568709.34,568709.34,568709.34,2008-11-06,188552384,"COMSO, INC"
62,2009,150825.0,150825.0,150825.0,2008-11-19,107939357,GTSI CORPORATION
63,2009,53152.06,53152.06,53152.06,2009-09-30,135910698,RIGHTSTAR SYSTEMS INCORPORATED
64,2009,2224448.3,807170.93,2224448.3,2009-09-15,004649125,BAE SYSTEMS INFORMATION TECHNOLOGY INCORPORATED
65,2009,107728.05,107728.05,107728.05,2008-10-21,008437345,COGNOS CORPORATION
66,2009,2301.98,2301.98,0.0,2009-08-29,957702863,INTERNATIONAL COMPUTING SYSTEM
67,2009,786945.53,786945.53,786945.53,2009-08-14,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
68,2009,47975.0,47975.0,47975.0,2008-10-01,157727991,"MTM TECHNOLOGIES, INC."
69,2009,12410.0,12410.0,12410.0,2009-09-18,793429952,"STRODERD COMMUNICATIONS, INC."
70,2009,3247771.0,3247771.0,3247771.0,2008-12-30,026157235,CDW GOVERNMENT INCORPORATED
71,2009,19860.26,19860.26,19860.26,2008-11-03,026157235,CDW GOVERNMENT INCORPORATED
72,2009,33234.84,33234.84,33234.84,2008-10-01,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
73,2009,7100.0,7100.0,7100.0,2008-10-17,143604937,TRIVIR LLC
74,2009,63234.63,63234.63,63234.63,2009-08-15,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
75,2009,6850.0,6850.0,6850.0,2008-12-08,172318495,UNISOFT SYSTEMS ASSOCIATES
76,2009,1331.76,1331.76,1331.76,2008-12-12,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
77,2009,22000.64,22000.64,22000.64,2008-10-01,112097076,METASTORM INC.
78,2009,6941.1,6941.1,6941.1,2009-07-27,957702863,INTERNATIONAL COMPUTING SYSTEM
79,2009,201161.64,201161.64,201161.64,2008-12-15,107939357,GTSI CORPORATION
80,2009,2893.64,2893.64,0.0,2009-07-01,957702863,INTERNATIONAL COMPUTING SYSTEM
81,2009,21250.0,21250.0,21250.0,2009-01-27,557415358,SPRINGSOURCE INC.
82,2009,165540.51,165540.51,165540.51,2009-05-26,107939357,GTSI CORPORATION
83,2009,49989.58,49989.58,49989.58,2008-12-01,112074757,BLACKSTONE TECHNOLOGY GROUP
84,2009,24631630.4,24631630.4,24631630.4,2008-10-30,836196972,LOCKHEED MARTIN INTEGRATED SYSTEMS INCORPORATED
85,2009,167.7,167.7,167.7,2008-12-22,929022028,SOFTCHOICE CORPORATION
86,2009,79476.0,79476.0,79476.0,2009-09-09,069341972,ENGILITY CORPORATION
87,2009,3987.6,3987.6,0.0,2008-12-05,957702863,INTERNATIONAL COMPUTING SYSTEM
88,2009,7111.0,7111.0,7111.0,2008-10-17,556054591,"FORCE 3, INC."
89,2009,619090.0,619090.0,619090.0,2008-10-08,048690650,INTELLIDYNE LIMITED LIABILITY COMPANY
90,2009,196286.0,196286.0,196286.0,2009-04-10,066781865,KEANE FEDERAL SYSTEMS INC
