,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,1480,414,229798452.35999963
1,2010,1553,453,336131051.86999995
2,2011,1391,415,210897920.43999997
3,2012,1336,410,240459215.03999978
4,2013,1297,435,269978486.25999963
5,2014,1338,447,285256717.1399999
6,2015,1416,451,326018429.8899994
7,2016,1550,488,386709454.2800001
8,2017,1730,475,408362939.0999995
9,2018,1997,401,415405240.20000017
10,2019,1740,382,527240097.8400004
