,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,44849.0,44849.0,44849.0,2009-09-18,088365767,CARAHSOFT TECHNOLOGY CORPORATION
1,2009,32047.42,32047.42,32047.42,2009-06-18,067641597,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
2,2009,87026.2,87026.2,87026.2,2009-09-30,027157127,TELECOMMUNICATION SOLUTIONS GROUP INCORPORATED
3,2009,7550.0,7550.0,7550.0,2009-01-26,148265713,PETRA INDUSTRIES INCORPORATED
4,2009,79340.89,79340.89,79340.89,2009-01-27,105954403,"ACUITY SOLUTIONS, LLC"
5,2009,755.0,755.0,755.0,2009-04-27,148265713,PETRA INDUSTRIES INCORPORATED
6,2009,1131.0,1131.0,1131.0,2009-04-28,148265713,PETRA INDUSTRIES INCORPORATED
7,2009,18693.93,18693.93,18693.93,2009-09-26,961220415,"TANDBERG, INC."
8,2009,4072.46,4072.46,4072.46,2009-04-15,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
9,2009,2506.32,2506.32,2506.32,2009-07-02,008968708,GENERAL DYNAMICS NETWORK SYSTEMS INCORPORATED
10,2009,377.0,377.0,377.0,2009-09-23,148265713,PETRA INDUSTRIES INCORPORATED
11,2009,5300.0,5300.0,5300.0,2009-06-19,148265713,PETRA INDUSTRIES INCORPORATED
12,2009,910864.0,910864.0,910864.0,2009-08-21,189148174,VANGENT INCORPORATED
13,2009,4445.11,4445.11,4445.11,2009-09-23,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
14,2009,1132.5,1132.5,1132.5,2009-05-20,148265713,PETRA INDUSTRIES INCORPORATED
15,2009,7660.35,7660.35,23580.56,2009-03-12,020149303,NEW TECH SOLUTIONS INC
16,2009,7587.91,7587.91,7587.91,2009-03-06,618563720,INTELLIGENT DECISIONS INCORPORATED
17,2009,3083.0,3083.0,3083.0,2009-07-01,147587240,KROLL ONTRACK INCORPORATED (1650)
18,2009,1497714.62,1497714.62,5990858.49,2009-02-26,618563720,INTELLIGENT DECISIONS INCORPORATED
19,2009,377.0,377.0,377.0,2009-01-14,148265713,PETRA INDUSTRIES INCORPORATED
20,2009,5572.5,5572.5,5572.5,2009-09-28,148265713,PETRA INDUSTRIES INCORPORATED
21,2009,925003.85,925003.85,9353949.0,2009-02-25,077815736,"ANALYTIC SERVICES, INC"
22,2009,41581.42,41581.42,41581.42,2009-08-20,804902740,GALLERY SYSTEMS INCORPORATED
23,2009,755.0,755.0,755.0,2009-03-31,148265713,PETRA INDUSTRIES INCORPORATED
24,2009,48444.0,48444.0,484439.99,2009-07-21,148965473,CNI INFORMATION TECHNOLOGY LIMITED LIABILITY COMPANY
25,2009,294419.2,294419.2,2235899.2,2009-03-26,782957927,"TERREMARK FEDERAL GROUP, INC."
26,2009,30802.69,30802.69,30802.69,2009-06-25,067641597,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
27,2009,283346.83,283346.83,283346.83,2009-05-05,171837730,"GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS, INC."
28,2009,715616.0,715616.0,715616.0,2009-06-25,178699799,COMMERCIAL DATA SYSTEMS INC
29,2009,4000.0,4000.0,4000.0,2009-09-08,023954527,"SATEC, INC."
