,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,1577,573,740948160.25
1,2010,1771,639,845383891.9299998
2,2011,1818,630,1553944435.309999
3,2012,1677,600,797720222.1599998
4,2013,1705,572,751074381.6499989
5,2014,1770,608,981968821.6399995
6,2015,2853,713,2314837056.7699995
7,2016,3732,696,1492462157.2099998
8,2017,4091,741,1525288215.1900024
9,2018,3865,699,1773982521.1399977
10,2019,3045,590,1750796640.6100028
