,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,334,164,435518505.09
1,2010,207,104,174696305.4500001
2,2011,104,55,83570633.38999999
3,2012,114,51,115639121.14000002
4,2013,134,37,115241244.71999998
5,2014,127,44,110858379.89999995
6,2015,165,60,196152763.41
7,2016,185,61,179409761.17999998
8,2017,188,49,96074394.72000004
9,2018,169,44,137036473.12000003
10,2019,128,45,122199793.54999995
