,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,14866,2691,6372607788.540021
1,2010,14624,2620,6099125022.399973
2,2011,13988,2546,6774280446.569996
3,2012,13789,2555,7749197100.079991
4,2013,11972,2270,6364600193.760003
5,2014,12673,2268,6846229858.789977
6,2015,12054,2134,6491208097.970013
7,2016,11882,2083,6781475359.080005
8,2017,10918,1960,6756888201.450009
9,2018,10268,1911,7108413374.310009
10,2019,9419,1759,8341815876.419979
