,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,3468,1137,2109010588.7500017
1,2010,2754,856,1835844967.8500009
2,2011,2127,513,1849239753.1700027
3,2012,1966,467,2153209044.0399976
4,2013,1650,335,1839632419.8999999
5,2014,1655,295,1624332213.6099994
6,2015,1397,303,1986079398.0300004
7,2016,1541,247,2040946457.509998
8,2017,1514,256,2317987772.3100023
9,2018,1404,232,2372202617.360002
10,2019,945,209,2415097591.439999
