,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
1237,2016,29877.11,29877.11,29877.11,2016-09-15,601643856,"INTEGRITY NETWORKS, INC."
1238,2016,269755.2,269755.2,269755.2,2015-12-17,804891851,"INFORMATION INTERNATIONAL ASSOCIATES, INC."
1239,2016,9204.36,9204.36,9204.36,2016-02-25,135962137,CSC GOVERNMENT SOLUTIONS LLC
1240,2016,203800.0,203800.0,203800.0,2016-09-14,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1241,2016,962712.0,962712.0,2946241.0,2016-04-21,804891851,"INFORMATION INTERNATIONAL ASSOCIATES, INC."
1242,2016,275000.0,275000.0,275000.0,2016-07-08,884723016,"COMPU-GEN TECHNOLOGIES, INC"
1243,2016,508500.0,508500.0,508500.0,2016-08-31,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1244,2016,167000.0,167000.0,167000.0,2016-08-05,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1245,2016,142466.55,142466.55,142466.55,2016-08-11,967292215,TRUSTED SECURITY ALLIANCE LLC
1246,2016,6663.77,6663.77,21000.0,2016-08-24,013358002,"MYTHICS, INC"
1247,2016,275835.6,183890.4,458726.0,2016-06-17,088365767,CARAHSOFT TECHNOLOGY CORP.
1248,2016,1110000.0,1110000.0,1110000.0,2016-07-26,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1249,2016,812346.71,812346.71,812346.71,2016-02-18,070509828,"NET.AMERICA CORPORATION, THE"
1250,2016,75127.68,75127.68,911651.38,2016-09-20,095347159,ERNST & YOUNG LLP
1251,2016,2169124.0,2169124.0,6638189.0,2016-04-26,804891851,"INFORMATION INTERNATIONAL ASSOCIATES, INC."
1252,2016,9092.37,9092.37,9092.37,2016-09-14,013358002,"MYTHICS, INC"
1253,2016,73746.72,73746.72,73746.72,2016-04-27,184768583,"CORESPHERE, LLC"
1254,2016,424115.0,424115.0,1381169.0,2016-05-13,804891851,"INFORMATION INTERNATIONAL ASSOCIATES, INC."
1255,2016,13451252.0,13451252.0,41241712.0,2016-04-28,804891851,"INFORMATION INTERNATIONAL ASSOCIATES, INC."
1256,2016,3098799.43,3098799.43,3098799.43,2016-09-23,135962137,CSC GOVERNMENT SOLUTIONS LLC
1257,2016,44086.0,44086.0,44086.0,2016-09-12,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1258,2016,17696997.08,9582824.5,19696079.73,2016-09-02,786244066,"DIVERSIFIED GLOBAL PARTNERS JV, LLC"
1259,2016,273650.68,273650.68,337312.08,2016-08-22,967292215,TRUSTED SECURITY ALLIANCE LLC
1260,2016,410351.21,410351.21,410351.21,2016-08-09,967292215,TRUSTED SECURITY ALLIANCE LLC
1261,2016,1688.95,1688.95,1688.95,2016-06-20,013358002,"MYTHICS, INC"
1262,2016,279600.0,279600.0,279600.0,2016-09-15,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1263,2016,180196.25,180196.25,325792.31,2016-02-26,013358002,"MYTHICS, INC"
1264,2016,141484.0,141484.0,141484.0,2016-09-08,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1265,2016,238165.08,238165.08,238165.08,2015-12-18,079519700,STONS INC
1266,2016,219000.0,219000.0,219000.0,2016-09-14,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1267,2016,50662.0,50662.0,50662.0,2016-07-14,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1268,2016,2502692.0,2502692.0,7922115.0,2016-04-21,804891851,"INFORMATION INTERNATIONAL ASSOCIATES, INC."
1269,2016,4203392.56,4203392.56,4203392.56,2016-09-23,135962137,CSC GOVERNMENT SOLUTIONS LLC
1270,2016,924299.04,924299.04,4808071.75,2016-05-20,011443269,"ACTIONET, INC."
1271,2017,1190000.0,1190000.0,1190000.0,2017-04-07,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1272,2017,133953.7,133953.7,182802.74,2017-08-16,967292215,TRUSTED SECURITY ALLIANCE LLC
1273,2017,895776.02,895776.02,4478880.12,2017-09-27,028619588,22ND CENTURY TECHNOLOGIES INC.
1274,2017,141394.08,141394.08,839434.08,2017-09-28,028619588,22ND CENTURY TECHNOLOGIES INC.
1275,2017,85836.0,85836.0,85836.0,2017-09-18,053387429,RAYTHEON COMPANY
1276,2017,23147.0,23147.0,23147.0,2017-02-15,059175336,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
1277,2017,103515.98,103515.98,103515.98,2017-03-06,135962137,CSC GOVERNMENT SOLUTIONS LLC
1278,2017,127000.0,127000.0,127000.0,2017-07-19,053387429,RAYTHEON COMPANY
1279,2017,93716.0,93716.0,93716.0,2017-09-07,053387429,RAYTHEON COMPANY
1280,2017,2134986.08,2134986.08,2853398.72,2017-04-28,967292215,TRUSTED SECURITY ALLIANCE LLC
