,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
0,2009,6972.05,6972.05,6972.05,2009-04-23,175320761,"APPTIS (MCLEAN), INC"
1,2009,100291.0,100291.0,100291.0,2009-09-03,125069489,EMC CORPORATION
2,2009,132600.0,132600.0,0.0,2008-12-23,145076688,GDC INTEGRATION INCORPORATED
3,2009,5736.0,5736.0,5736.0,2009-09-16,088365767,CARAHSOFT TECHNOLOGY CORPORATION
4,2009,24826.77,24826.77,24826.77,2009-08-14,077799799,AMERICAN SYSTEMS CORPORATION
5,2009,13670.0,13670.0,13670.0,2009-08-18,110487522,SWN COMMUNICATIONS INCORPORATED
6,2009,10107.45,10107.45,0.0,2009-02-17,038085549,EVERGREEN INFORMATION TECHNOLO
7,2009,42048.87,42048.87,42048.87,2009-09-28,009039939,COMMUNICATIONS RESOURCE INCORPORATED
8,2009,250590.6,250590.6,0.0,2009-05-11,780679114,OPEN SYSTEM SCIENCES OF VIRGINIA INCORPORATED
9,2009,16266.56,16266.56,16266.56,2009-03-25,787015601,METRO COMMUNICATIONS SERVICES COMPANY INCORPORATED
10,2009,4436.46,4436.46,4436.46,2009-09-17,175320761,"APPTIS (MCLEAN), INC"
11,2009,200000.0,200000.0,200000.0,2009-09-21,145969783,CGI FEDERAL INCORPORATED
12,2009,4000.0,4000.0,8020.0,2009-09-25,144205697,ESCALATION CONSULTANTS INC
13,2009,885564.54,885564.54,885564.54,2009-09-18,786468199,"DLT SOLUTIONS, INC."
14,2009,6019.46,6019.46,0.0,2009-09-19,038085549,EVERGREEN INFORMATION TECHNOLO
15,2009,7213.69,7213.69,7213.69,2009-09-11,938836541,STERLING COMPUTERS CORPORATION
16,2009,15150.0,15150.0,15150.0,2009-01-06,185767936,"STERLING COMMERCE (AMERICA), INC."
17,2009,15680.0,15680.0,15680.0,2009-05-27,007640436,SOFTEC SOLUTIONS INCORPORATED
18,2009,266498.0,0.0,266498.0,2009-09-15,884490830,JMA CHARTERED
19,2009,27476.8,27476.8,27476.8,2009-06-16,181162546,COMPUTER CONSULTING OPERATIONS SPECIALIST INCORPORATED
20,2009,67806.4,67806.4,67806.4,2009-08-28,181162546,COMPUTER CONSULTING OPERATIONS SPECIALIST INCORPORATED
21,2009,429526.8,429526.8,429526.8,2009-08-26,036279193,AMERICAN ENVIRONMENTAL AND ENGINEERING CONSULTANTS LIMITED LIABILITY COMPANY
22,2009,24976.03,24976.03,24976.03,2009-08-14,098692374,IMMIXTECHNOLOGY INC
23,2009,135731.38,135731.38,135731.38,2009-09-04,007640436,SOFTEC SOLUTIONS INCORPORATED
24,2009,4201.96,4201.96,4201.96,2009-09-01,614948396,WORLD WIDE TECHNOLOGY INCORPORATED
25,2009,3499979.62,3499979.62,3499979.62,2009-08-28,113045715,"CUSTOMER VALUE PARTNERS, INC."
26,2009,19988.35,19988.35,0.0,2009-09-29,157031076,"VISUALPOINT, INC."
27,2009,36847.62,36847.62,0.0,2009-09-09,780679114,OPEN SYSTEM SCIENCES OF VIRGINIA INCORPORATED
28,2009,28940.38,28940.38,28940.38,2009-09-18,141089040,TKC INTEGRATION SERVICES LIMITED LIABILITY COMPANY
29,2009,416407.0,416407.0,416407.0,2009-06-30,019121586,DELOITTE CONSULTING L.P.
30,2009,1427960.24,0.0,1427960.24,2009-09-28,832220417,QFLOW SYSTEMS LLC
31,2009,4168.8,4168.8,4168.8,2009-07-20,966833766,"SWORD & SHIELD ENTERPRISE SECURITY, INC."
32,2009,3232.15,3232.15,0.0,2009-09-25,038085549,EVERGREEN INFORMATION TECHNOLO
33,2009,53730.0,53730.0,53730.0,2009-05-08,884490830,JMA CHARTERED
34,2009,11580.0,11580.0,11580.0,2009-05-12,003548489,AT&T MOBILITY LLC
35,2009,3675.0,3675.0,3675.0,2009-07-15,825567977,TECHWARE INC
36,2009,3385.2,3385.2,3385.2,2009-05-13,088720664,C TECHNOLOGIESNET LIMITED LIABILITY COMPANY
37,2009,2961869.18,2961869.18,2961869.18,2009-09-28,178221391,"GLACIER TECHNOLOGIES, LLC"
38,2009,854883.0,0.0,0.0,2009-09-25,157031076,"VISUALPOINT, INC."
39,2009,248627.71,248627.71,248627.71,2009-09-29,809678782,GOVCONNECTION INCORPORATED
40,2009,14200.0,14200.0,0.0,2009-08-11,144500022,COMPU-CURE NEW ORLEANS INC.
41,2009,0.0,0.0,0.0,2009-09-21,009039939,COMMUNICATIONS RESOURCE INC
