,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,698,233,174697714.48000005
1,2010,343,110,127479132.00999998
2,2011,148,58,39311622.21000001
3,2012,128,53,41021684.36000001
4,2013,144,55,39124319.19000001
5,2014,185,71,94715794.07999998
6,2015,153,49,51572197.229999974
7,2016,117,34,36463295.99
8,2017,81,34,31579424.74
9,2018,44,12,20281942.310000002
10,2019,20,9,17658089.96
