,action_date_fiscal_year,noofaward,vendors,awardvalue
0,2009,451,170,345311833.00000006
1,2010,150,57,113796871.21000001
2,2011,78,28,64669233.91
3,2012,78,33,109409277.78999998
4,2013,68,31,65097396.25999999
5,2014,91,31,65265839.90000002
6,2015,109,30,82957316.81000002
7,2016,99,31,68771410.87000002
8,2017,79,21,54459786.28999999
9,2018,85,27,94629118.45
10,2019,55,14,97853075.65999998
