,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,35338,1259,TREAS
1,2010,24991,1459,TREAS
2,2011,22592,1457,TREAS
3,2012,21883,1368,TREAS
4,2013,20995,1495,TREAS
5,2014,19186,1522,TREAS
6,2015,16426,1550,TREAS
7,2016,15083,1645,TREAS
8,2017,15563,1679,TREAS
9,2018,12182,1290,TREAS
10,2019,11926,1253,TREAS
