,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,21412,487,DOC
1,2010,20952,263,DOC
2,2011,19071,127,DOC
3,2012,18748,118,DOC
4,2013,17891,79,DOC
5,2014,19890,82,DOC
6,2015,28009,62,DOC
7,2016,26814,53,DOC
8,2017,21001,62,DOC
9,2018,17342,55,DOC
10,2019,15941,81,DOC
