,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,679,28,SEC
1,2010,1021,7,SEC
2,2011,1569,8,SEC
3,2012,2074,4,SEC
4,2013,1596,11,SEC
5,2014,1632,3,SEC
6,2015,1907,5,SEC
7,2016,2046,3,SEC
