,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,84260,1831,DOJ
1,2010,88440,1918,DOJ
2,2011,97541,2292,DOJ
3,2012,109012,2526,DOJ
4,2013,112881,2625,DOJ
5,2014,116527,2919,DOJ
6,2015,109768,2897,DOJ
7,2016,94042,2966,DOJ
8,2017,85976,2840,DOJ
9,2018,88507,3433,DOJ
10,2019,67383,2874,DOJ
