,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,61941,3390,DHS
1,2010,63120,3403,DHS
2,2011,63297,3248,DHS
3,2012,61929,3208,DHS
4,2013,57758,3206,DHS
5,2014,55042,3751,DHS
6,2015,57434,4077,DHS
7,2016,63467,3941,DHS
8,2017,127534,4271,DHS
9,2018,51160,4035,DHS
10,2019,44388,2946,DHS
