,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,84260,616,DOJ
1,2010,88440,87,DOJ
2,2011,97541,65,DOJ
3,2012,109012,64,DOJ
4,2013,112881,104,DOJ
5,2014,116527,104,DOJ
6,2015,109768,151,DOJ
7,2016,94042,133,DOJ
8,2017,85976,134,DOJ
9,2018,88507,115,DOJ
10,2019,67383,102,DOJ
