,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,213990,1050,VA
1,2010,217554,208,VA
2,2011,237095,116,VA
3,2012,172622,84,VA
4,2013,177105,53,VA
5,2014,180475,65,VA
6,2015,175646,79,VA
7,2016,175115,51,VA
8,2017,171605,51,VA
9,2018,147358,40,VA
10,2019,102558,46,VA
