,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,1134600,14712,DOD
1,2010,1146277,14432,DOD
2,2011,1116906,13765,DOD
3,2012,1071281,13576,DOD
4,2013,984808,11834,DOD
5,2014,1014305,12432,DOD
6,2015,2865944,11885,DOD
7,2016,3314833,11718,DOD
8,2017,3308722,10779,DOD
9,2018,4137177,10112,DOD
10,2019,3975055,9373,DOD
