,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,932467,1696,GSA
1,2010,862551,1414,GSA
2,2011,686435,1044,GSA
3,2012,565221,683,GSA
4,2013,104038,520,GSA
5,2014,105075,496,GSA
6,2015,96605,576,GSA
7,2016,92822,605,GSA
8,2017,108244,516,GSA
9,2018,113590,496,GSA
10,2019,1320568,521,GSA
