,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,932467,1332,GSA
1,2010,862551,643,GSA
2,2011,686435,274,GSA
3,2012,565221,118,GSA
4,2013,104038,11,GSA
5,2014,105075,8,GSA
6,2015,96605,9,GSA
7,2016,92822,14,GSA
8,2017,108244,10,GSA
9,2018,113590,10,GSA
10,2019,1320568,7,GSA
