,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,55355,334,HHS
1,2010,63525,207,HHS
2,2011,64895,104,HHS
3,2012,65568,114,HHS
4,2013,67169,134,HHS
5,2014,71517,127,HHS
6,2015,69364,165,HHS
7,2016,66019,185,HHS
8,2017,68107,188,HHS
9,2018,62976,169,HHS
10,2019,56212,128,HHS
