,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,35338,451,TREAS
1,2010,24991,150,TREAS
2,2011,22592,78,TREAS
3,2012,21883,78,TREAS
4,2013,20995,68,TREAS
5,2014,19186,91,TREAS
6,2015,16426,109,TREAS
7,2016,15083,99,TREAS
8,2017,15563,79,TREAS
9,2018,12182,85,TREAS
10,2019,11926,55,TREAS
