,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,679,61,SEC
1,2010,1021,109,SEC
2,2011,1569,127,SEC
3,2012,2074,148,SEC
4,2013,1596,135,SEC
5,2014,1632,150,SEC
6,2015,1907,150,SEC
7,2016,2046,105,SEC
8,2017,1754,87,SEC
9,2018,1640,111,SEC
10,2019,1310,86,SEC
