,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,61941,981,DHS
1,2010,63120,159,DHS
2,2011,63297,120,DHS
3,2012,61929,105,DHS
4,2013,57758,91,DHS
5,2014,55042,71,DHS
6,2015,57434,79,DHS
7,2016,63467,78,DHS
8,2017,127534,54,DHS
9,2018,51160,71,DHS
10,2019,44388,84,DHS
