,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,21412,1482,DOC
1,2010,20952,1694,DOC
2,2011,19071,1510,DOC
3,2012,18748,1676,DOC
4,2013,17891,1664,DOC
5,2014,19890,1976,DOC
6,2015,28009,2164,DOC
7,2016,26814,1988,DOC
8,2017,21001,1885,DOC
9,2018,17342,1924,DOC
10,2019,15941,2086,DOC
