,action_date_fiscal_year,allaward,filteredaward,agency_abb
0,2009,213990,5335,VA
1,2010,217554,5641,VA
2,2011,237095,5491,VA
3,2012,172622,4149,VA
4,2013,177105,3976,VA
5,2014,180475,3733,VA
6,2015,175646,3132,VA
7,2016,175115,3315,VA
8,2017,171605,3223,VA
9,2018,147358,2507,VA
10,2019,102558,2411,VA
